Prediction,Target,acc,epoch,step,val_loss
0.0,2.119999885559082,0.15000000596046448,0,399,550595392.0
4.0,2.119999885559082,0.1599999964237213,1,799,524530208.0
0.0,2.119999885559082,0.15000000596046448,2,1199,809894208.0
4.0,2.119999885559082,0.1599999964237213,3,1599,841171200.0
0.0,2.119999885559082,0.15000000596046448,4,1999,465845440.0
4.0,2.119999885559082,0.1599999964237213,5,2399,525909728.0
4.0,2.119999885559082,0.1599999964237213,6,2799,422957152.0
0.0,2.119999885559082,0.15000000596046448,7,3199,489212896.0
4.0,2.119999885559082,0.1599999964237213,8,3599,580505984.0
0.0,2.119999885559082,0.15000000596046448,9,3999,621701888.0
